,game_state,next_state,probability
178,1-0-1-0-1-8,1-0-0-0-1-10,0.005724098454493417
179,1-0-1-1-0-8,1-0-0-0-1-10,0.0045205347696450895
180,1-0-1-1-1-7,1-0-0-0-1-10,0.005641748942172073
181,1-0-0-0-0-11,1-0-0-0-1-11,0.004431618513823091
182,1-0-0-0-1-10,1-0-0-0-1-11,0.00648202710665881
183,1-0-0-1-0-10,1-0-0-0-1-11,0.004204398447606727
184,1-0-0-1-1-9,1-0-0-0-1-11,0.004896421845574388
185,1-0-1-0-0-10,1-0-0-0-1-11,0.00480903085372953
186,1-0-1-0-1-9,1-0-0-0-1-11,0.005724098454493417
187,1-0-1-1-0-9,1-0-0-0-1-11,0.0045205347696450895
188,1-0-1-1-1-8,1-0-0-0-1-11,0.005641748942172073
189,1-0-0-0-0-12,1-0-0-0-1-12,0.004431618513823091
190,1-0-0-0-1-11,1-0-0-0-1-12,0.00648202710665881
191,1-0-0-1-0-11,1-0-0-0-1-12,0.004204398447606727
192,1-0-0-1-1-10,1-0-0-0-1-12,0.004896421845574388
193,1-0-1-0-0-11,1-0-0-0-1-12,0.00480903085372953
194,1-0-1-0-1-10,1-0-0-0-1-12,0.005724098454493417
195,1-0-1-1-0-10,1-0-0-0-1-12,0.0045205347696450895
196,1-0-1-1-1-9,1-0-0-0-1-12,0.005641748942172073
197,1-0-0-0-0-13,1-0-0-0-1-13,0.004431618513823091
198,1-0-0-0-1-12,1-0-0-0-1-13,0.00648202710665881
199,1-0-0-1-0-12,1-0-0-0-1-13,0.004204398447606727
200,1-0-0-1-1-11,1-0-0-0-1-13,0.004896421845574388
201,1-0-1-0-0-12,1-0-0-0-1-13,0.00480903085372953
202,1-0-1-0-1-11,1-0-0-0-1-13,0.005724098454493417
203,1-0-1-1-0-11,1-0-0-0-1-13,0.0045205347696450895
204,1-0-1-1-1-10,1-0-0-0-1-13,0.005641748942172073
205,1-0-0-0-0-14,1-0-0-0-1-14,0.004431618513823091
206,1-0-0-0-1-13,1-0-0-0-1-14,0.00648202710665881
207,1-0-0-1-0-13,1-0-0-0-1-14,0.004204398447606727
208,1-0-0-1-1-12,1-0-0-0-1-14,0.004896421845574388
209,1-0-1-0-0-13,1-0-0-0-1-14,0.00480903085372953
210,1-0-1-0-1-12,1-0-0-0-1-14,0.005724098454493417
211,1-0-1-1-0-12,1-0-0-0-1-14,0.0045205347696450895
212,1-0-1-1-1-11,1-0-0-0-1-14,0.005641748942172073
213,1-0-0-0-0-15,1-0-0-0-1-15,0.004431618513823091
214,1-0-0-0-1-14,1-0-0-0-1-15,0.00648202710665881
215,1-0-0-1-0-14,1-0-0-0-1-15,0.004204398447606727
216,1-0-0-1-1-13,1-0-0-0-1-15,0.004896421845574388
217,1-0-1-0-0-14,1-0-0-0-1-15,0.00480903085372953
218,1-0-1-0-1-13,1-0-0-0-1-15,0.005724098454493417
219,1-0-1-1-0-13,1-0-0-0-1-15,0.0045205347696450895
220,1-0-1-1-1-12,1-0-0-0-1-15,0.005641748942172073
221,1-0-0-0-0-16,1-0-0-0-1-16,0.004431618513823091
222,1-0-0-0-1-15,1-0-0-0-1-16,0.00648202710665881
223,1-0-0-1-0-15,1-0-0-0-1-16,0.004204398447606727
224,1-0-0-1-1-14,1-0-0-0-1-16,0.004896421845574388
225,1-0-1-0-0-15,1-0-0-0-1-16,0.00480903085372953
226,1-0-1-0-1-14,1-0-0-0-1-16,0.005724098454493417
227,1-0-1-1-0-14,1-0-0-0-1-16,0.0045205347696450895
228,1-0-1-1-1-13,1-0-0-0-1-16,0.005641748942172073
229,1-0-0-0-0-17,1-0-0-0-1-17,0.004431618513823091
230,1-0-0-0-1-16,1-0-0-0-1-17,0.00648202710665881
231,1-0-0-1-0-16,1-0-0-0-1-17,0.004204398447606727
232,1-0-0-1-1-15,1-0-0-0-1-17,0.004896421845574388
233,1-0-1-0-0-16,1-0-0-0-1-17,0.00480903085372953
234,1-0-1-0-1-15,1-0-0-0-1-17,0.005724098454493417
235,1-0-1-1-0-15,1-0-0-0-1-17,0.0045205347696450895
236,1-0-1-1-1-14,1-0-0-0-1-17,0.005641748942172073
237,1-0-0-0-0-18,1-0-0-0-1-18,0.004431618513823091
238,1-0-0-0-1-17,1-0-0-0-1-18,0.00648202710665881
239,1-0-0-1-0-17,1-0-0-0-1-18,0.004204398447606727
240,1-0-0-1-1-16,1-0-0-0-1-18,0.004896421845574388
241,1-0-1-0-0-17,1-0-0-0-1-18,0.00480903085372953
242,1-0-1-0-1-16,1-0-0-0-1-18,0.005724098454493417
243,1-0-1-1-0-16,1-0-0-0-1-18,0.0045205347696450895
